Sentence,NER,generated_ner
what is the most closest eat in restaurant in the area,"{""Location"": [""closest"", ""in the area""], ""Amenity"": [""eat in""]}",{}
what is the most expensive restaurant with a dress code and valet parking within 15 miles,"{""Price"": [""most expensive""], ""Amenity"": [""dress code"", ""valet parking""], ""Location"": [""within 15 miles""]}",{}
what is the most popular italian restaurant near me,"{""Cuisine"": [""italian""], ""Location"": [""near me""]}","{ ""location"": [""italian""]}"
what is the name of that expensive greek restaurant in alston,"{""Price"": [""expensive""], ""Cuisine"": [""greek""], ""Location"": [""alston""]}","{ ""location"": [""greece""]}"
what is the name of the restaurant within 50 miles of chatswin that was built inside a cavern,"{""Location"": [""within 50 miles of chatswin""], ""Amenity"": [""built inside a cavern""]}","{ ""location"": [""chatswin""]}"
what is the name or phone number of the coffee shop on seminary street,"{""Cuisine"": [""coffee""], ""Location"": [""seminary street""]}",{}
what is the nearest fast food restaurant,"{""Location"": [""nearest""], ""Cuisine"": [""fast food""]}",{}
what is the phone number for the closest chinese restaurant,"{""Location"": [""closest""], ""Cuisine"": [""chinese""]}",{}
what is the phone number of a nearby restaurant that serves garlic shrimp,"{""Location"": [""nearby""], ""Dish"": [""garlic shrimp""]}","{ ""product"": [""garlic shrimp""]}"
what is the phone number of bills pizza,"{""Restaurant_Name"": [""bills pizza""]}",{}
what is the phone number of the mcdonalds on the east side of town,"{""Restaurant_Name"": [""mcdonalds""], ""Location"": [""east side of town""]}","{ ""location"": [""mcdonalds""]}"
what is the phone number to alans on oak street,"{""Restaurant_Name"": [""alans""], ""Location"": [""oak street""]}","{ ""location"": [""oak street""]}"
what is the price for a lobster entree at martys marina,"{""Dish"": [""lobster""], ""Restaurant_Name"": [""martys marina""]}","{ ""location"": [""Martys marina""]}"
what is the price range for dinner at clarkes family restaurant,"{""Restaurant_Name"": [""clarkes family restaurant""]}","{ ""location"": [""clarkes""]}"
what is the rating for pho saigon in mesa arizona,"{""Restaurant_Name"": [""pho saigon""], ""Location"": [""mesa arizona""]}","{ ""location"": [""pho saigon"", ""mesa arizona""]}"
what is the rating on arbys,"{""Restaurant_Name"": [""arbys""]}",{}
what is the rating on burger island,"{""Restaurant_Name"": [""burger island""]}",{}
what is this months special at mcdonalds,"{""Restaurant_Name"": [""mcdonalds""]}","{ ""location"": [""mcdonalds""]}"
what italian restaurant is open 24 hours on dalton street,"{""Cuisine"": [""italian""], ""Hours"": [""open 24 hours""], ""Location"": [""dalton street""]}","{ ""location"": [""dalton street""]}"
what kind of atmosphere does simpsons have,"{""Restaurant_Name"": [""simpsons""]}",{}
what kind of chicken dishes does theos serve,"{""Restaurant_Name"": [""theos""]}","{ ""location"": [""theos""]}"
what kind of fondue does the magic kettle have,"{""Dish"": [""fondue""], ""Restaurant_Name"": [""magic kettle""]}",{}
what kind of food does abc cafe serve,"{""Restaurant_Name"": [""abc cafe""]}","{ ""location"": [""abbc cafe""]}"
what kind of food does this place have,{},{}
what kind of food does ubice sell,"{""Restaurant_Name"": [""ubice""]}","{ ""location"": [""ubice""]}"
what kosher restaurants still have smoking sections,"{""Cuisine"": [""kosher""], ""Amenity"": [""smoking sections""]}",{}
what local restaurants have an outdoor play area for young children,"{""Location"": [""local""], ""Amenity"": [""outdoor play area""]}",{}
what nearby is open past midnight and has fabulous service,"{""Location"": [""nearby""], ""Hours"": [""open past midnight""], ""Rating"": [""fabulous service""]}",{}
what nearby places are byob,"{""Location"": [""nearby""], ""Amenity"": [""byob""]}",{}
what nearby restaurant has the best reviews,"{""Location"": [""nearby""], ""Rating"": [""best reviews""]}",{}
what nearby restaurants serve grilled tilapia,"{""Location"": [""nearby""], ""Dish"": [""grilled tilapia""]}","{ ""product"": [""tilapia""]}"
what pancake restaurants are nearby,"{""Dish"": [""pancake""], ""Location"": [""nearby""]}",{}
what pizza place has the best toppings and is no farther than 4 miles,"{""Dish"": [""pizza""], ""Rating"": [""best toppings""], ""Location"": [""no farther than 4 miles""]}",{}
what place in saugus has the best decor,"{""Location"": [""saugus""], ""Rating"": [""best""], ""Amenity"": [""decor""]}","{ ""location"": [""saugus""]}"
what places are cheap here,"{""Price"": [""cheap""], ""Location"": [""here""]}",{}
what places have great selections of beer,"{""Dish"": [""beer""]}",{}
what places have pretty good prices,"{""Price"": [""pretty good""]}",{}
what places in roxbury are open before 8 am and have excellent service,"{""Location"": [""roxbury""], ""Hours"": [""open before 8 am""], ""Rating"": [""excellent service""]}","{ ""location"": [""roxbury""]}"
what places serve dinner late,"{""Hours"": [""dinner late""]}",{}
what portugeese restaurant is on colonel bell drive,"{""Cuisine"": [""portugeese""], ""Location"": [""colonel bell drive""]}","{ ""location"": [""colonel bell drive""]}"
what restaurant are cheap and only vegan,"{""Price"": [""cheap""], ""Cuisine"": [""vegan""]}",{}
what restaurant are open till 10 pm,"{""Hours"": [""open till 10 pm""]}",{}
what restaurant has middle eastern food and great service,"{""Cuisine"": [""middle eastern""], ""Rating"": [""great service""]}",{}
what restaurant is expensive and has entertainment,"{""Price"": [""expensive""], ""Amenity"": [""entertainment""]}",{}
what restaurant is open till 9 pm,"{""Hours"": [""open till 9 pm""]}",{}
what restaurant nearby are affordable,"{""Location"": [""nearby""], ""Price"": [""affordable""]}",{}
what restaurant on the south side has the hottest sauce for their chicken wings,"{""Location"": [""south side""], ""Cuisine"": [""hottest""], ""Dish"": [""sauce"", ""chicken wings""]}",{}
what restaurant sells crab close by,"{""Dish"": [""crab""], ""Location"": [""close by""]}",{}
what restaurant serves burritos 7 days per week,"{""Dish"": [""burritos""], ""Hours"": [""7 days per week""]}",{}
what restaurant serves the largest portions of meat within 10 mile,"{""Amenity"": [""largest portions""], ""Dish"": [""meat""], ""Location"": [""within 10 mile""]}",{}
what restaurant within 25 miles has the poorest quality food,"{""Location"": [""within 25 miles""], ""Rating"": [""poorest""]}",{}
what restaurants are close to the museum,"{""Location"": [""museum""]}",{}
what restaurants are nearby,"{""Location"": [""nearby""]}",{}
what restaurants are open in the downtown area,"{""Hours"": [""open""], ""Location"": [""in the downtown area""]}",{}
what restaurants are open past midnight,"{""Hours"": [""open past midnight""]}",{}
what restaurants are still open this late,"{""Hours"": [""still open this late""]}",{}
what restaurants are within 1 mile and have good prices,"{""Location"": [""within 1 mile""], ""Price"": [""good""]}",{}
what restaurants around here have free wi fi,"{""Location"": [""around here""], ""Amenity"": [""free wi fi""]}",{}
what restaurants downtown is open after 9 p,"{""Location"": [""downtown""], ""Hours"": [""open after 9 p""]}",{}
what restaurants have a large beer menu and are close to a hotel,"{""Amenity"": [""large beer menu""], ""Location"": [""close to a hotel""]}",{}
what restaurants have nice family friendly brunch on weekends,"{""Amenity"": [""nice family friendly""], ""Hours"": [""brunch"", ""weekends""]}",{}
what restaurants nearby serve ribs and ice cream sundaes,"{""Location"": [""nearby""], ""Dish"": [""ribs"", ""ice cream sundaes""]}",{}
what restaurants stay open after 2 am within 5 miles,"{""Hours"": [""open after 2 am""], ""Location"": [""within 5 miles""]}",{}
what route should i take in order to get to the closest fast food place,"{""Location"": [""closest""], ""Cuisine"": [""fast food""]}",{}
what seafood place around here has the biggest portions,"{""Cuisine"": [""seafood""], ""Location"": [""around here""]}",{}
what time does is breakfast over at burger king,"{""Hours"": [""breakfast""], ""Restaurant_Name"": [""burger king""]}","{ ""location"": [""burger king""]}"
what time does jollibees open,"{""Restaurant_Name"": [""jollibees""], ""Hours"": [""open""]}","{ ""location"": [""jollibees""]}"
what time does kareems restaurant open,"{""Restaurant_Name"": [""kareems""]}","{ ""location"": [""kareems""]}"
what time does king palace serve dimsum until,"{""Restaurant_Name"": [""king palace""], ""Amenity"": [""serve""], ""Dish"": [""dimsum""], ""Hours"": [""until""]}","{ ""location"": [""king palace""]}"
what time does little johns open on sunday,"{""Restaurant_Name"": [""little johns""], ""Hours"": [""on sunday""]}","{ ""location"": [""little johns""]}"
what time does mcdonalds in main street open,"{""Restaurant_Name"": [""mcdonalds""], ""Location"": [""main street""]}","{ ""location"": [""mcdonalds""]}"
what time does on the rocks on seminary stop serving food,"{""Hours"": [""time"", ""stop serving food""], ""Restaurant_Name"": [""on the rocks""], ""Location"": [""seminary""]}",{}
what time does papa johns close,"{""Restaurant_Name"": [""papa johns""], ""Hours"": [""close""]}","{ ""location"": [""papa johns""]}"
what time does red robin close,"{""Restaurant_Name"": [""red robin""]}","{ ""location"": [""red robin""]}"
what time does sonic burger open,"{""Restaurant_Name"": [""sonic burger""]}","{ ""location"": [""sonic burger""]}"
what time does sonic open,"{""Restaurant_Name"": [""sonic""], ""Hours"": [""open""]}","{ ""location"": [""sonic""]}"
what time does subway open,"{""Hours"": [""does""], ""Restaurant_Name"": [""subway""]}",{}
what time does the burger king on main street closes,"{""Restaurant_Name"": [""burger king""], ""Location"": [""main street""]}",{}
what time does the nearest chipotle close,"{""Location"": [""nearest""], ""Restaurant_Name"": [""chipotle""]}","{ ""location"": [""chipotle""]}"
what time does the pho place in reno close,"{""Restaurant_Name"": [""pho place""], ""Location"": [""reno""], ""Hours"": [""close""]}","{ ""location"": [""reno""]}"
what time does the sushi place near me open,"{""Cuisine"": [""sushi""], ""Location"": [""near""], ""Hours"": [""open""]}",{}
what time is happy hour at the juice shop,"{""Amenity"": [""happy hour""], ""Restaurant_Name"": [""juice shop""]}",{}
what time of the day does mcdonals start serving lunch the one near here,"{""Restaurant_Name"": [""mcdonals""], ""Location"": [""near here""]}","{ ""location"": [""mcdonals""]}"
what type of cusine does gates have,"{""Restaurant_Name"": [""gates""]}",{}
what vegetarian options does zaxbys offer,"{""Restaurant_Name"": [""zaxbys""]}","{ ""location"": [""zaxbys""]}"
what would be an impressive restaurant for me to take a future business partner to,"{""Rating"": [""impressive""], ""Amenity"": [""business""]}",{}
whats a cheap place near melrose that serves pakistani styled kabobs,"{""Price"": [""cheap""], ""Location"": [""near melrose""], ""Cuisine"": [""pakistani""], ""Dish"": [""kabobs""]}","{ ""location"": [""melrose""], ""other"": [""pakistani""]}"
whats a good restaurant for a casual date,"{""Rating"": [""good""], ""Amenity"": [""casual date""]}",{}
whats a nicely priced southwestern place near here,"{""Price"": [""nicely""], ""Cuisine"": [""southwestern""], ""Location"": [""near here""]}",{}
whats a popular place to east,"{""Rating"": [""popular""]}",{}
whats an expensive belgian restaurant in san diego,"{""Price"": [""expensive""], ""Cuisine"": [""belgian""], ""Location"": [""san diego""]}","{ ""location"": [""san diego""]}"
whats open after noon,"{""Hours"": [""open after noon""]}",{}
whats the address of best locally owned sub sandwich shop,"{""Rating"": [""best""], ""Location"": [""locally""], ""Amenity"": [""owned""], ""Cuisine"": [""sub sandwich""]}",{}
whats the best barbeque restaurant in memphis,"{""Rating"": [""best""], ""Cuisine"": [""barbeque""], ""Location"": [""memphis""]}","{ ""location"": [""memphis""]}"
whats the best french style cafe in sacramento,"{""Rating"": [""best""], ""Cuisine"": [""french"", ""cafe""], ""Location"": [""sacramento""]}","{ ""location"": [""sacramento""]}"
whats the best indian restaurant in the area,"{""Rating"": [""best""], ""Cuisine"": [""indian""], ""Location"": [""in the area""]}",{}
whats the best place around here to get cheese,"{""Rating"": [""best""], ""Dish"": [""cheese""]}",{}
whats the best restaurant within 10 blocks from us,"{""Rating"": [""best""], ""Location"": [""within 10 blocks from us""]}",{}
whats the cheapest fast food restaurant that has a play area for children,"{""Price"": [""cheapest""], ""Cuisine"": [""fast food""], ""Amenity"": [""play area""]}",{}
whats the closest and cheapest bistro nearby,"{""Location"": [""closest"", ""nearby""], ""Price"": [""cheapest""], ""Cuisine"": [""bistro""]}",{}
whats the closest chinese food place,"{""Location"": [""closest""], ""Amenity"": [""chinese""]}",{}
whats the closest pizza restaurant,"{""Location"": [""closest""], ""Dish"": [""pizza""]}",{}
whats the closest restaurant with a full salad bar,"{""Location"": [""closest""], ""Cuisine"": [""full salad bar""]}",{}
whats the most expensive restaurant on the back bay thats open until midnight,"{""Price"": [""most expensive""], ""Location"": [""back bay""], ""Hours"": [""open until midnight""]}",{}
whats the most popular steak house around here,"{""Rating"": [""popular""], ""Cuisine"": [""steak house""], ""Location"": [""around here""]}",{}
whats the nearest pizza place that serves anchovies,"{""Location"": [""nearest""], ""Cuisine"": [""pizza""], ""Dish"": [""anchovies""]}","{ ""location"": [""anchovies""]}"
whats the phone number for that family owned thai restaurant on the north side,"{""Amenity"": [""family owned""], ""Cuisine"": [""thai""], ""Location"": [""north side""]}","{ ""location"": [""thai""]}"
whats the phone number the restaurant i just pass,"{""Location"": [""i just pass""]}",{}
whats the phone number to bouchon in napa,"{""Restaurant_Name"": [""bouchon""], ""Location"": [""napa""]}","{ ""location"": [""bouchon"", ""napa""]}"
whats the shortest route to mcdonalds,"{""Restaurant_Name"": [""mcdonalds""]}","{ ""location"": [""mcdonalds""]}"
when does better burger open today,"{""Restaurant_Name"": [""better burger""]}",{}
when does churchs open,"{""Restaurant_Name"": [""churchs""]}",{}
when does dominos open,"{""Restaurant_Name"": [""dominos""], ""Hours"": [""open""]}","{ ""location"": [""domnos""]}"
when does pizza patron open,"{""Restaurant_Name"": [""pizza patron""], ""Hours"": [""open""]}",{}
when does subway open,"{""Restaurant_Name"": [""subway""], ""Hours"": [""open""]}",{}
when does white castle close,"{""Restaurant_Name"": [""white castle""], ""Location"": [""close""]}",{}
where are some fast food joints in driving distance to here,"{""Cuisine"": [""fast food joints""], ""Location"": [""driving distance""]}",{}
where are some mexican restaurants,"{""Cuisine"": [""mexican""]}","{ ""location"": [""mexican""]}"
where are the restaurants with a formal dress code around here,"{""Amenity"": [""formal dress code""], ""Location"": [""around here""]}",{}
where can a group be served omelets,"{""Dish"": [""omelets""]}",{}
where can get some fried chicken,"{""Dish"": [""fried chicken""]}",{}
where can i dine outside and eat pork chops,"{""Amenity"": [""dine outside""], ""Dish"": [""pork chops""]}",{}
where can i eat a nice sit down dinner and have some pho,"{""Amenity"": [""sit down dinner""], ""Dish"": [""pho""]}","{ ""location"": [""pho""]}"
where can i eat african food for cheap,"{""Cuisine"": [""african""], ""Price"": [""cheap""]}","{ ""location"": [""African""]}"
where can i eat around here,"{""Location"": [""around here""]}",{}
where can i eat by the water close by,"{""Amenity"": [""by the water""], ""Location"": [""close by""]}",{}
where can i eat pita bread late at night,"{""Dish"": [""pita bread""], ""Hours"": [""late at night""]}","{ ""product"": [""pita bread""]}"
where can i eat that delivers food,"{""Amenity"": [""delivers food""]}",{}
where can i eat that has valet parking,"{""Amenity"": [""valet parking""]}",{}
where can i eat that isnt cheap,"{""Price"": [""isnt cheap""]}",{}
where can i eat that wont need a reservation and that i can be at in 20 minutes,"{""Amenity"": [""wont need a reservation""], ""Location"": [""in 20 minutes""]}",{}
where can i find a cambodian restaurant that also sells ingredients,"{""Cuisine"": [""cambodian""], ""Amenity"": [""sells ingredients""]}","{ ""location"": [""cambodian""]}"
where can i find a cheap place to eat in peabody,"{""Price"": [""cheap""], ""Location"": [""peabody""]}","{ ""location"": [""peabody""]}"
where can i find a coffee shop within 10 miles that is not part of a chain,"{""Cuisine"": [""coffee""], ""Location"": [""within 10 miles""], ""Amenity"": [""not part of a chain""]}",{}
where can i find a coffee zone that has dining at the bar and a good rating,"{""Restaurant_Name"": [""coffee zone""], ""Amenity"": [""dining at"", ""bar""], ""Rating"": [""good rating""]}",{}
where can i find a cracker barrel near miami,"{""Restaurant_Name"": [""cracker barrel""], ""Location"": [""miami""]}","{ ""location"": [""miami""]}"
where can i find a good brepub that is open after 11 pm,"{""Cuisine"": [""brepub""], ""Hours"": [""open after 11 pm""]}",{}
where can i find a good place to eat that is in within miles from me,"{""Rating"": [""good""], ""Location"": [""within miles""]}",{}
where can i find a good pork chop,"{""Rating"": [""good""], ""Dish"": [""pork chop""]}",{}
where can i find a good restaurant in the theatre district,"{""Rating"": [""good""], ""Location"": [""theatre district""]}",{}
where can i find a high end restaurant on chestnut street open after 11 pm,"{""Price"": [""high end""], ""Location"": [""chestnut street""], ""Hours"": [""open after 11 pm""]}","{ ""location"": [""chestnut street""]}"
where can i find a late night taco joint,"{""Hours"": [""late night""], ""Cuisine"": [""taco joint""]}",{}
where can i find a nice gelato place that offers carryout,"{""Cuisine"": [""gelato""], ""Amenity"": [""carryout""]}",{}
where can i find a place for people watching nearby,"{""Amenity"": [""people watching""], ""Location"": [""nearby""]}",{}
where can i find a place that serves gelato,"{""Dish"": [""gelato""]}","{ ""location"": [""gelato""]}"
where can i find a place to eat that serves pasta,"{""Dish"": [""pasta""]}",{}
where can i find a place with a great wine list,"{""Amenity"": [""great wine list""]}",{}
where can i find a place within 5 minutes with great prices,"{""Location"": [""within 5 minutes""], ""Price"": [""great""]}",{}
where can i find a rainforest cafe,"{""Restaurant_Name"": [""rainforest cafe""]}",{}
where can i find a restaurant near me,"{""Location"": [""near me""]}",{}
where can i find a restaurant that has good portions and is open at 9 p,"{""Amenity"": [""good portions""], ""Hours"": [""open at 9 p""]}",{}
where can i find a restaurant with a vegetarian senior discount menu,"{""Cuisine"": [""vegetarian""], ""Amenity"": [""senior discount""]}",{}
where can i find a seafood restaurant that also sells fresh fish,"{""Cuisine"": [""seafood""], ""Amenity"": [""sells fresh fish""]}",{}
where can i find a sports bar in nassau county new york,"{""Amenity"": [""sports bar""], ""Location"": [""nassau county new york""]}","{ ""location"": [""nassau county new york""]}"
where can i find a thai restaurant that is non smoking,"{""Cuisine"": [""thai""], ""Amenity"": [""non smoking""]}","{ ""location"": [""thai""]}"
where can i find authentic mexican cuisine at a great price,"{""Cuisine"": [""authentic mexican""], ""Price"": [""great""]}","{ ""location"": [""mexican""]}"
where can i find bobby hacketts restaurant,"{""Restaurant_Name"": [""bobby hacketts""]}","{ ""location"": [""bobby hacketts""]}"
where can i find cheap vegan food,"{""Price"": [""cheap""], ""Cuisine"": [""vegan""]}",{}
where can i find good irish food,"{""Cuisine"": [""irish""]}","{ ""location"": [""irish""]}"
where can i find halal with a price not so high,"{""Cuisine"": [""halal""], ""Price"": [""price not so high""]}","{ ""location"": [""halal""]}"
where can i find naugles,"{""Restaurant_Name"": [""naugles""]}",{}
where can i find somewhere relaxed thats open in the morning around beacon hill,"{""Amenity"": [""relaxed""], ""Hours"": [""open in the morning""], ""Location"": [""around beacon hill""]}","{ ""location"": [""beacon hill""]}"
where can i find the best sushi in town,"{""Rating"": [""best""], ""Dish"": [""sushi""], ""Location"": [""in town""]}",{}
where can i find the cheapest burgers in town,"{""Price"": [""cheapest""], ""Dish"": [""burgers""], ""Location"": [""in town""]}",{}
where can i find the cheapest pizza,"{""Price"": [""cheapest""], ""Dish"": [""pizza""]}",{}
where can i find the cheapest take out chinese food,"{""Price"": [""cheapest""], ""Amenity"": [""take out""], ""Cuisine"": [""chinese""]}","{ ""location"": [""chinese""]}"
where can i find the closest bakery,"{""Location"": [""closest""], ""Cuisine"": [""bakery""]}",{}
where can i find the highest rated breakfast burrito,"{""Rating"": [""highest rated""], ""Dish"": [""breakfast burrito""]}",{}
where can i find tofu in city hall plaza with parking,"{""Dish"": [""tofu""], ""Location"": [""city hall plaza""], ""Amenity"": [""parking""]}","{ ""location"": [""city hall plaza""]}"
where can i get a banana split,"{""Dish"": [""banana split""]}",{}
where can i get a burger,"{""Dish"": [""burger""]}",{}
where can i get a cheap dinner,"{""Price"": [""cheap""], ""Hours"": [""dinner""]}",{}
where can i get a cheap slice of pizza in huntington ny,"{""Price"": [""cheap""], ""Dish"": [""slice of pizza""], ""Location"": [""huntington ny""]}","{ ""location"": [""huntington ny""]}"
where can i get a good bagel from,"{""Rating"": [""good""], ""Dish"": [""bagel""]}",{}
where can i get a good deal on two pizzas in manhattan,"{""Dish"": [""pizzas""], ""Location"": [""manhattan""]}","{ ""location"": [""Manhattan""]}"
where can i get a good sandwich for a good price,"{""Rating"": [""good""], ""Dish"": [""sandwich""], ""Price"": [""good""]}",{}
where can i get a great tofu omelette in wayland,"{""Dish"": [""tofu omelette""], ""Location"": [""wayland""]}","{ ""location"": [""wayland""]}"
where can i get a hamburger,"{""Dish"": [""hamburger""]}",{}
where can i get a hamburger between thompson falls and plains,"{""Dish"": [""hamburger""], ""Location"": [""between thompson falls and plains""]}","{ ""location"": [""thompson falls""]}"
where can i get a healthy lunch,"{""Amenity"": [""healthy""], ""Hours"": [""lunch""]}",{}
where can i get a milkshake within walking distance,"{""Dish"": [""milkshake""], ""Location"": [""within walking distance""]}",{}
where can i get a pho king sized bowl,"{""Dish"": [""pho king sized bowl""]}",{}
where can i get a pricey drink on kendall square,"{""Dish"": [""drink""], ""Location"": [""kendall square""]}","{ ""location"": [""kendall square""]}"
where can i get a taco for a dollar,"{""Dish"": [""taco""], ""Price"": [""for a dollar""]}","{ ""product"": [""taco""]}"
where can i get an appitizer in american legion highway,"{""Dish"": [""appitizer""], ""Location"": [""american legion highway""]}","{ ""location"": [""american legion highway""]}"
where can i get bagels,"{""Dish"": [""bagels""]}",{}
where can i get barbecue no farther than 5 miles,"{""Cuisine"": [""barbecue""], ""Location"": [""5 miles""]}",{}
where can i get caribbean food not far from here in a romantic setting,"{""Cuisine"": [""caribbean""], ""Location"": [""not far from here""], ""Amenity"": [""romantic setting""]}","{ ""location"": [""caribbean""]}"
where can i get cheap food at 5 pm in alston,"{""Price"": [""cheap""], ""Hours"": [""5 pm""], ""Location"": [""in alston""]}","{ ""location"": [""alston""]}"
where can i get decent inexpensive sushi in glen cove ny,"{""Price"": [""inexpensive""], ""Dish"": [""sushi""], ""Location"": [""glen cove ny""]}","{ ""location"": [""glen cove ny""]}"
where can i get doughnuts right now,"{""Dish"": [""doughnuts""], ""Hours"": [""now""]}",{}
where can i get eggrolls,"{""Dish"": [""eggrolls""]}",{}
where can i get fish,"{""Dish"": [""fish""]}",{}
where can i get large portions of fish with a group of interesting folk,"{""Amenity"": [""large portions"", ""group""], ""Dish"": [""fish""]}",{}
where can i get nachos within 1 mile of me that is open late,"{""Dish"": [""nachos""], ""Location"": [""within 1 mile""], ""Hours"": [""open late""]}","{ ""location"": [""nagos""]}"
where can i get reasonably priced sashimi at 8 pm,"{""Price"": [""reasonably""], ""Dish"": [""sashimi""], ""Hours"": [""8 pm""]}","{ ""product"": [""sashimi""]}"
where can i get some chicken nuggets,"{""Dish"": [""chicken nuggets""]}",{}
where can i get some cookies,"{""Dish"": [""cookies""]}",{}
where can i get some crab nearby that is open until 2 am,"{""Dish"": [""crab""], ""Location"": [""nearby""], ""Hours"": [""open until 2 am""]}",{}
where can i get some fast food,"{""Cuisine"": [""fast food""]}",{}
where can i get some good coffee,"{""Rating"": [""good""], ""Dish"": [""coffee""]}",{}
where can i get some ice cream,"{""Dish"": [""ice cream""]}",{}
where can i get some macaroni and cheese,"{""Dish"": [""macaroni and cheese""]}",{}
where can i get some shrimp,"{""Dish"": [""shrimp""]}",{}
where can i get some slushy,"{""Dish"": [""slushy""]}",{}
where can i get some southern food,"{""Cuisine"": [""southern""]}",{}
where can i get some spaghetti,"{""Dish"": [""spaghetti""]}",{}
where can i get some sushi,"{""Dish"": [""sushi""]}",{}
where can i get some waffles,"{""Dish"": [""waffles""]}",{}
where can i get something inexpensive to eat near my current location,"{""Price"": [""inexpensive""], ""Location"": [""near"", ""current location""]}",{}
where can i get starbucks around me,"{""Restaurant_Name"": [""starbucks""], ""Location"": [""around me""]}","{ ""location"": [""starbucks""]}"
where can i get the best pie,"{""Rating"": [""best""], ""Dish"": [""pie""]}",{}
where can i get the top rated hamburger in baltimore,"{""Rating"": [""top rated""], ""Dish"": [""hamburger""], ""Location"": [""baltimore""]}","{ ""location"": [""baltimore""]}"
where can i get vegan food,"{""Cuisine"": [""vegan""]}",{}
where can i go for expensive gelato for carry out,"{""Price"": [""expensive""], ""Dish"": [""gelato""], ""Amenity"": [""carry out""]}","{ ""product"": [""gelato""]}"
where can i go to eat,{},{}
where can i go to get a sandwich around here,"{""Dish"": [""sandwich""], ""Location"": [""around here""]}",{}
where can i have a glass of wine in jamaica plain that also does not allow smoking,"{""Rating"": [""glass""], ""Cuisine"": [""wine""], ""Location"": [""jamaica plain""], ""Amenity"": [""does not allow smoking""]}","{ ""location"": [""jamaica""]}"
where can i order fried chicken to eat,"{""Dish"": [""fried chicken""]}",{}
where can i take a date nearby for enchiladas,"{""Amenity"": [""date""], ""Location"": [""nearby""], ""Dish"": [""enchiladas""]}","{ ""location"": [""enchiladas""]}"
where can i take coworkers for excellent priced food,"{""Amenity"": [""coworkers""], ""Price"": [""excellent""]}",{}
where can i take my 5 year old nephew to eat,"{""Amenity"": [""take my 5 year old""]}",{}
where can i take my date for a cheap meal in charlestown,"{""Amenity"": [""date""], ""Price"": [""cheap""], ""Location"": [""charlestown""]}","{ ""location"": [""charlestown""]}"
where can i take my kids for good tacos,"{""Amenity"": [""kids""], ""Rating"": [""good""], ""Dish"": [""tacos""]}",{}
where can i take my kids to eat,"{""Amenity"": [""kids""]}",{}
where can i take my kids to get an omelet,"{""Amenity"": [""kids""], ""Dish"": [""omelet""]}",{}
where can we find a french inspired restaurant,"{""Amenity"": [""french inspired""]}",{}
where could i eat sushi on the waterfront,"{""Dish"": [""sushi""], ""Location"": [""waterfront""]}",{}
where could i find some good tomato sauce thats 10 minutes away with excellent pricing,"{""Rating"": [""good""], ""Dish"": [""tomato sauce""], ""Location"": [""10 minutes away""], ""Price"": [""excellent""]}","{ ""location"": [""Tomato sauce""]}"
where could i get some cakes in a business atmosphere thats open until 1 am,"{""Dish"": [""cakes""], ""Amenity"": [""business atmosphere""], ""Hours"": [""open until 1 am""]}",{}
where could i go for a burger and a movie,"{""Dish"": [""burger""], ""Amenity"": [""movie""]}",{}
where could i go for a roast beef sandwich right now,"{""Dish"": [""roast beef sandwich""], ""Hours"": [""right now""]}",{}
where do i park to go to the butcher and the boar,"{""Restaurant_Name"": [""butcher and the boar""]}",{}
where i can get seafood and bring my own drinks,"{""Cuisine"": [""seafood""], ""Amenity"": [""bring my own drinks""]}",{}
where in beverly can i bring a group to an italys little kitchen,"{""Location"": [""beverly""], ""Restaurant_Name"": [""italys little kitchen""]}","{ ""location"": [""beverly""]}"
where in the theater district is there a restaurant with portions that are a bit small,"{""Location"": [""theater district""]}",{}
where is a bob evans on diauto drive with moderate portions,"{""Restaurant_Name"": [""bob evans""], ""Location"": [""diauto drive""], ""Amenity"": [""moderate portions""]}","{ ""location"": [""bob evans""]}"
where is a cheap restaurant in the north end that serves burritos,"{""Price"": [""cheap""], ""Location"": [""north end""], ""Dish"": [""burritos""]}","{ ""location"": [""burritos""]}"
where is a good place to eat,"{""Rating"": [""good""]}",{}
where is a good place to get seafood,"{""Rating"": [""good""], ""Cuisine"": [""seafood""]}",{}
where is a good restaurant on the water,"{""Rating"": [""good""], ""Location"": [""water""]}",{}
where is a kid friendly pizza place with games,"{""Amenity"": [""kid friendly"", ""games""], ""Cuisine"": [""pizza""]}",{}
where is a kosher place for lunch,"{""Cuisine"": [""kosher""], ""Hours"": [""for lunch""]}",{}
where is a late night ethiopian place that we can go after 2 am,"{""Hours"": [""late night"", ""after 2 am""], ""Cuisine"": [""ethiopian""]}","{ ""location"": [""ethiopian""]}"
where is a reasonably price japanese restaurant downtown,"{""Price"": [""reasonably""], ""Cuisine"": [""japanese""], ""Location"": [""downtown""]}","{ ""location"": [""japanese""]}"
where is a restaurant open till midnight near west bridgewater with really friendly service,"{""Hours"": [""open till midnight""], ""Location"": [""near west bridgewater""], ""Amenity"": [""really friendly service""]}","{ ""location"": [""west bridgewater""]}"
where is a restaurant that opens 24 hours,"{""Hours"": [""opens 24 hours""]}",{}
where is a romantic place to get a sub near here,"{""Amenity"": [""romantic place""], ""Cuisine"": [""sub""], ""Location"": [""near""]}",{}
where is an italian restaurant with outdoor seating,"{""Cuisine"": [""italian""], ""Amenity"": [""outdoor seating""]}","{ ""location"": [""italian""]}"
